author,genre,image_url,price,rating,reviews_count,title
Rithvik Singh,Poetry,https://m.media-amazon.com/images/I/61rnjgTxjUL._AC_UY218_.jpg,196,4.2,"1,366",I Don't Love You Anymore: Moving On and Living Your Best Life | National Bestseller by Rithvik Singh | Original Edition
Piyush Mishra,Poetry,https://m.media-amazon.com/images/I/71c+FGTn0oL._AC_UY218_.jpg,147,4.4,"1,720",Kuchh Ishq Kiya Kuchh Kaam Kiya
NOOR UNNAHAR,Poetry,https://m.media-amazon.com/images/I/5196wRC7saL._AC_UY218_.jpg,225,4.5,"1,792","Yesterday i was the moon: A Poetry Collection on Self-Discovery, Love, Heartbreak & Healing | Viral Insta-Poetry by Noor Unnahar"
Emily Dickinson,Poetry,https://m.media-amazon.com/images/I/51Cv6WTmFkL._AC_UY218_.jpg,236,4.6,"1,139","100 Selected Poems, Emily Dickinson: Collectable Hardbound edition"
Swati Sani,Poetry,https://m.media-amazon.com/images/I/91II5RIBGKL._AC_UY218_.jpg,251,4.2,73,The Eloquence of Ghalib | A Journey Through His Poetry | The Poet's Legacy. Swati Sani
Whitney Hanson,Poetry,https://m.media-amazon.com/images/I/71VaJK2UcjL._AC_UY218_.jpg,537,4.8,"4,138",Home: Poems To Heal Your Heartbreak
Ashish Bagrecha,Poetry,https://m.media-amazon.com/images/I/812fCsWzzjL._AC_UY218_.jpg,184,4.6,"2,694","Love, Hope And Magic"
Jaun Elia,Poetry,https://m.media-amazon.com/images/I/81uND7JqfTL._AC_UY218_.jpg,165,4.5,"1,507",Jaun Elia: Ek Ajab Ghazab Shayar
Rahat Indori,Poetry,https://m.media-amazon.com/images/I/81iS-USTOnL._AC_UY218_.jpg,220,4.5,993,Do Kadam Aur Sahi (Hindi)
Translated by Rabindranath Tagore,Poetry,https://m.media-amazon.com/images/I/71Bqb2mKNoL._AC_UY218_.jpg,118,4.4,628,One Hundred Poems of Kabir
Shri Hit Premanand Govind Sharan Ji Maharaj,Spirituality,https://m.media-amazon.com/images/I/71+SDDkSd6L._AC_UY218_.jpg,189,4.9,221,SPIRITUAL AWAKENING SHRI HIT PREMANAND GOVIND SHARAN JI MAHARAJ VOLUME 1 (PB 2024)
Satyarth Nayak,Spirituality,https://m.media-amazon.com/images/I/A1NQCPdK9UL._AC_UY218_.jpg,374,4.6,"1,087",Mahagatha: 100 Tales from the Puranas
Sadhguru,Spirituality,https://m.media-amazon.com/images/I/91xafByFlLL._AC_UY218_.jpg,180,4.7,"16,332",Karma: A Yogi's Guide to Crafting Your Destiny | Best in Self-Help and Spiritual Growth
Joseph Nguyen,Spirituality,https://m.media-amazon.com/images/I/715qi-cIbML._AC_UY218_.jpg,163,4.5,"11,964",Don't Believe Everything You Think (English)
Deepak Chopra,Spirituality,https://m.media-amazon.com/images/I/8143BxYSuFL._AC_UY218_.jpg,233,4.5,167,The Seven Spiritual Laws Of Success (English)
Ranjit Chaudhri,Spirituality,https://m.media-amazon.com/images/I/71RekQ752NL._AC_UY218_.jpg,152,4.6,"2,376",The Shiva Sutras
Om Swami,Spirituality,https://m.media-amazon.com/images/I/81cvMup8fFL._AC_UY218_.jpg,318,4.9,529,Thirteen Months In The Himalayas : Chronicles of a Monk's Sadhana
Daaji Kamlesh D. Patel,Spirituality,https://m.media-amazon.com/images/I/71j9nkXfgHL._AC_UY218_.jpg,321,4.8,506,"Spiritual Anatomy: Meditation, Chakras, and the Journey to the Center"
The Dalai Lama,Spirituality,https://m.media-amazon.com/images/I/717HdXTLX-L._AC_UY218_.jpg,315,4.6,"10,330",THE ART OF HAPPINESS
Meetu Bisht,Spirituality,https://m.media-amazon.com/images/I/81dksTcLONL._AC_UY218_.jpg,257,4.8,390,"Why We Are Who We Are: An Insightful Glimpse into Our Human Roles, Soul Personality, and Karmic Mandates"
Brianna Wiest,Spirituality,https://m.media-amazon.com/images/I/61xivWmExiL._AC_UY218_.jpg,259,4.4,"23,042",The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery (English)
Kyle Gray,Spirituality,https://m.media-amazon.com/images/I/81zFriaJORL._AC_UY218_.jpg,254,4.7,830,Raise Your Vibration (New Edition): High-Vibe Tools to Support Your Spiritual Awakening
Dr Bhaswati Bhattacharya,Spirituality,https://m.media-amazon.com/images/I/814DJT4lL9S._AC_UY218_.jpg,206,4.3,"2,096","Everyday Ayurveda-Bpb: Daily Habits That Can Change Your Life. A book on Mental & Spiritual Healing. A guide to maximize health, longevity, & happiness naturally (Non-fiction, Penguin Books)"
Gaur Gopal Das,Spirituality,https://m.media-amazon.com/images/I/81yxRLBMmkL._AC_UY218_.jpg,195,4.6,"24,477",Life's Amazing Secret: How to Find Balance and Purpose in Your Life
Sadhguru,Spirituality,https://m.media-amazon.com/images/I/719unvl0O0L._AC_UY218_.jpg,150,4.8,234,Enlightenment: A New Beginning
J. Krishnamurti,Spirituality,https://m.media-amazon.com/images/I/51MB4Tc-cFL._AC_UY218_.jpg,282,4.6,"1,525","Book of Life, The"
Shamil Thakrar,Cookbooks,https://m.media-amazon.com/images/I/81wLQFlEYjL._AC_UY218_.jpg,"1,099",4.7,"8,472",Dishoom
Vijayan Kannampilly,Cookbooks,https://m.media-amazon.com/images/I/81yPkTln2RL._AC_UY218_.jpg,241,4.3,301,The Essential Kerala Cookbook
Chand Sur,Cookbooks,https://m.media-amazon.com/images/I/81hpKyqWaIL._AC_UY218_.jpg,344,4.4,268,The Lucknow Cookbook
